id,stationName,gegrLat,gegrLon,city,addressStreet
114,Wrocław - Bartnicza,51.115933,17.141125,"{'id': 1064, 'name': 'Wrocław', 'commune': {'communeName': 'Wrocław', 'districtName': 'Wrocław', 'provinceName': 'DOLNOŚLĄSKIE'}}",ul. Bartnicza
117,Wrocław - Korzeniowskiego,51.129378,17.02925,"{'id': 1064, 'name': 'Wrocław', 'commune': {'communeName': 'Wrocław', 'districtName': 'Wrocław', 'provinceName': 'DOLNOŚLĄSKIE'}}",ul. Wyb. J.Conrada-Korzeniowskiego 18
129,Wrocław - Wiśniowa,51.086225,17.012689,"{'id': 1064, 'name': 'Wrocław', 'commune': {'communeName': 'Wrocław', 'districtName': 'Wrocław', 'provinceName': 'DOLNOŚLĄSKIE'}}",al. Wiśniowa/ul. Powst. Śląskich
52,Legnica - Rzeczypospolitej,51.204503,16.180513,"{'id': 453, 'name': 'Legnica', 'commune': {'communeName': 'Legnica', 'districtName': 'Legnica', 'provinceName': 'DOLNOŚLĄSKIE'}}",al. Rzeczypospolitej 10/12
109,Wałbrzych - Wysockiego,50.768729,16.269677,"{'id': 998, 'name': 'Wałbrzych', 'commune': {'communeName': 'Wałbrzych', 'districtName': 'Wałbrzych', 'provinceName': 'DOLNOŚLĄSKIE'}}",ul. Wysockiego 11
14,Działoszyn,50.972167,14.941319,"{'id': 192, 'name': 'Działoszyn', 'commune': {'communeName': 'Bogatynia', 'districtName': 'zgorzelecki', 'provinceName': 'DOLNOŚLĄSKIE'}}",
16,Dzierżoniów - Piłsudskiego,50.732817,16.64805,"{'id': 198, 'name': 'Dzierżoniów', 'commune': {'communeName': 'Dzierżoniów', 'districtName': 'dzierżoniowski', 'provinceName': 'DOLNOŚLĄSKIE'}}",ul. Piłsudskiego 26
38,Kłodzko - Szkolna,50.433493,16.65366,"{'id': 368, 'name': 'Kłodzko', 'commune': {'communeName': 'Kłodzko', 'districtName': 'kłodzki', 'provinceName': 'DOLNOŚLĄSKIE'}}",ul. Szkolna 8
70,Oława - Żołnierzy AK,50.942073,17.291333,"{'id': 642, 'name': 'Oława', 'commune': {'communeName': 'Oława', 'districtName': 'oławski', 'provinceName': 'DOLNOŚLĄSKIE'}}",ul. Żołnierzy AK 9
74,Osieczów,51.31763,15.431719,"{'id': 648, 'name': 'Osieczów', 'commune': {'communeName': 'Osiecznica', 'districtName': 'bolesławiecki', 'provinceName': 'DOLNOŚLĄSKIE'}}",
84,Śnieżka,50.736389,15.739722,"{'id': 346, 'name': 'Karpacz', 'commune': {'communeName': 'Karpacz', 'districtName': 'jeleniogórski', 'provinceName': 'DOLNOŚLĄSKIE'}}",Śnieżka
